15/11/2019/18:1:8,  X = 83c4
15/10/2019/18:1:8,  Y = 85c4
15/10/2019/18:1:8,  Z = 87c4
15/11/2019/18:1:13,  X = 83c4
15/10/2019/18:1:13,  Y = 85c4
15/10/2019/18:1:13,  Z = 87c4
15/11/2019/18:1:18,  X = 83c8
15/10/2019/18:1:18,  Y = 85c8
15/10/2019/18:1:18,  Z = 87c8
15/11/2019/18:1:23,  X = 83c4
15/10/2019/18:1:23,  Y = 85c4
15/10/2019/18:1:23,  Z = 87c4
15/11/2019/18:1:28,  X = 83c4
15/10/2019/18:1:28,  Y = 85c4
15/10/2019/18:1:28,  Z = 87c4
15/11/2019/18:1:33,  X = 83c4
15/10/2019/18:1:33,  Y = 85c4
15/10/2019/18:1:33,  Z = 87c4
15/11/2019/18:1:38,  X = 83c4
15/10/2019/18:1:38,  Y = 85c4
15/10/2019/18:1:38,  Z = 87c4
15/11/2019/18:1:43,  X = 83c4
15/10/2019/18:1:43,  Y = 85c4
15/10/2019/18:1:43,  Z = 87c4
15/11/2019/18:1:48,  X = 83c4
15/10/2019/18:1:48,  Y = 85c4
15/10/2019/18:1:48,  Z = 87c4
15/11/2019/18:1:53,  X = 83c4
15/10/2019/18:1:53,  Y = 85c4
15/10/2019/18:1:53,  Z = 87c4
15/11/2019/18:1:58,  X = 83c4
15/10/2019/18:1:58,  Y = 85c4
15/10/2019/18:1:58,  Z = 87c4
15/11/2019/18:2:3,  X = 83c4
15/10/2019/18:2:3,  Y = 85c4
15/10/2019/18:2:3,  Z = 87c4
15/11/2019/18:2:8,  X = 83c4
15/10/2019/18:2:8,  Y = 85c4
15/10/2019/18:2:8,  Z = 87c4
15/11/2019/18:2:13,  X = 83c4
15/10/2019/18:2:13,  Y = 85c4
15/10/2019/18:2:13,  Z = 87c4
15/11/2019/18:2:18,  X = 83c4
15/10/2019/18:2:18,  Y = 85c4
15/10/2019/18:2:18,  Z = 87c4
15/11/2019/18:2:23,  X = 83c4
15/10/2019/18:2:23,  Y = 85c4
15/10/2019/18:2:23,  Z = 87c4
15/11/2019/18:2:28,  X = 83c4
15/10/2019/18:2:28,  Y = 85c4
15/10/2019/18:2:28,  Z = 87c4
15/11/2019/18:2:33,  X = 83c4
15/10/2019/18:2:33,  Y = 85c4
15/10/2019/18:2:33,  Z = 87c4
15/11/2019/18:2:38,  X = 83c4
15/10/2019/18:2:38,  Y = 85c4
15/10/2019/18:2:38,  Z = 87c4
15/11/2019/18:2:43,  X = 83c4
15/10/2019/18:2:43,  Y = 85c4
15/10/2019/18:2:43,  Z = 87c4
15/11/2019/18:2:48,  X = 83c4
15/10/2019/18:2:48,  Y = 85c4
15/10/2019/18:2:48,  Z = 87c4
15/11/2019/18:2:53,  X = 83c4
15/10/2019/18:2:53,  Y = 85c4
15/10/2019/18:2:53,  Z = 87c4
15/11/2019/18:2:58,  X = 83c4
15/10/2019/18:2:58,  Y = 85c4
15/10/2019/18:2:58,  Z = 87c4
15/11/2019/18:3:3,  X = 83c4
15/10/2019/18:3:3,  Y = 85c4
15/10/2019/18:3:3,  Z = 87c4
15/11/2019/18:3:8,  X = 83c4
15/10/2019/18:3:8,  Y = 85c4
15/10/2019/18:3:8,  Z = 87c4
15/11/2019/18:3:13,  X = 83c4
15/10/2019/18:3:13,  Y = 85c4
15/10/2019/18:3:13,  Z = 87c4
15/11/2019/18:3:18,  X = 83c4
15/10/2019/18:3:18,  Y = 85c4
15/10/2019/18:3:18,  Z = 87c4
15/11/2019/18:3:23,  X = 83c4
15/10/2019/18:3:23,  Y = 85c4
15/10/2019/18:3:23,  Z = 87c4
15/11/2019/18:3:28,  X = 83c4
15/10/2019/18:3:28,  Y = 85c4
15/10/2019/18:3:28,  Z = 87c4
15/11/2019/18:3:33,  X = 83c4
15/10/2019/18:3:33,  Y = 85c4
15/10/2019/18:3:33,  Z = 87c4
15/11/2019/18:3:38,  X = 83c4
15/10/2019/18:3:38,  Y = 85c4
15/10/2019/18:3:38,  Z = 87c4
15/11/2019/18:3:43,  X = 83c4
15/10/2019/18:3:43,  Y = 85c4
15/10/2019/18:3:43,  Z = 87c4
15/11/2019/18:3:48,  X = 83c4
15/10/2019/18:3:48,  Y = 85c4
15/10/2019/18:3:48,  Z = 87c4
15/11/2019/18:3:53,  X = 83c4
15/10/2019/18:3:53,  Y = 85c4
15/10/2019/18:3:53,  Z = 87c4
15/11/2019/18:3:58,  X = 83c4
15/10/2019/18:3:58,  Y = 85c4
15/10/2019/18:3:58,  Z = 87c4
15/11/2019/18:4:3,  X = 83c4
15/10/2019/18:4:3,  Y = 85c4
15/10/2019/18:4:3,  Z = 87c4
15/11/2019/18:4:8,  X = 83c4
15/10/2019/18:4:8,  Y = 85c4
15/10/2019/18:4:8,  Z = 87c4
15/11/2019/18:4:13,  X = 83c4
15/10/2019/18:4:13,  Y = 85c4
15/10/2019/18:4:13,  Z = 87c4
15/11/2019/18:4:18,  X = 83c4
15/10/2019/18:4:18,  Y = 85c4
15/10/2019/18:4:18,  Z = 87c4
15/11/2019/18:4:23,  X = 83c4
15/10/2019/18:4:23,  Y = 85c4
15/10/2019/18:4:23,  Z = 87c4
15/11/2019/18:4:28,  X = 83c4
15/10/2019/18:4:28,  Y = 85c4
15/10/2019/18:4:28,  Z = 87c4
15/11/2019/18:4:33,  X = 83c4
15/10/2019/18:4:33,  Y = 85c4
15/10/2019/18:4:33,  Z = 87c4
15/11/2019/18:4:38,  X = 83c4
15/10/2019/18:4:38,  Y = 85c4
15/10/2019/18:4:38,  Z = 87c4
15/11/2019/18:4:43,  X = 83d5
15/10/2019/18:4:43,  Y = 85d5
15/10/2019/18:4:43,  Z = 87d5
15/11/2019/18:4:48,  X = 83c4
15/10/2019/18:4:48,  Y = 85c4
15/10/2019/18:4:48,  Z = 87c4
15/11/2019/18:4:53,  X = 83c4
15/10/2019/18:4:53,  Y = 85c4
15/10/2019/18:4:53,  Z = 87c4
15/11/2019/18:4:58,  X = 83c4
15/10/2019/18:4:58,  Y = 85c4
15/10/2019/18:4:58,  Z = 87c4
15/11/2019/18:5:3,  X = 83c4
15/10/2019/18:5:3,  Y = 85c4
15/10/2019/18:5:3,  Z = 87c4
15/11/2019/18:5:8,  X = 83c4
15/10/2019/18:5:8,  Y = 85c4
15/10/2019/18:5:8,  Z = 87c4
15/11/2019/18:5:13,  X = 83c4
15/10/2019/18:5:13,  Y = 85c4
15/10/2019/18:5:13,  Z = 87c4
15/11/2019/18:5:18,  X = 83c4
15/10/2019/18:5:18,  Y = 85c4
15/10/2019/18:5:18,  Z = 87c4
15/11/2019/18:5:23,  X = 83c4
15/10/2019/18:5:23,  Y = 85c4
15/10/2019/18:5:23,  Z = 87c4
15/11/2019/18:5:28,  X = 83c4
15/10/2019/18:5:28,  Y = 85c4
15/10/2019/18:5:28,  Z = 87c4
15/11/2019/18:5:33,  X = 83c5
15/10/2019/18:5:33,  Y = 85c5
15/10/2019/18:5:33,  Z = 87c5
15/11/2019/18:5:38,  X = 83c4
15/10/2019/18:5:38,  Y = 85c4
15/10/2019/18:5:38,  Z = 87c4
15/11/2019/18:5:43,  X = 83c4
15/10/2019/18:5:43,  Y = 85c4
15/10/2019/18:5:43,  Z = 87c4
15/11/2019/18:5:48,  X = 83c3
15/10/2019/18:5:48,  Y = 85c3
15/10/2019/18:5:48,  Z = 87c3
15/11/2019/18:5:53,  X = 83c5
15/10/2019/18:5:53,  Y = 85c5
15/10/2019/18:5:53,  Z = 87c5
15/11/2019/18:5:58,  X = 83c0
15/10/2019/18:5:58,  Y = 85c0
15/10/2019/18:5:58,  Z = 87c0
15/11/2019/18:6:3,  X = 83c4
15/10/2019/18:6:3,  Y = 85c4
15/10/2019/18:6:3,  Z = 87c4
15/11/2019/18:6:8,  X = 83c4
15/10/2019/18:6:8,  Y = 85c4
15/10/2019/18:6:8,  Z = 87c4
15/11/2019/18:6:13,  X = 83c4
15/10/2019/18:6:13,  Y = 85c4
15/10/2019/18:6:13,  Z = 87c4
15/11/2019/18:6:18,  X = 83c4
15/10/2019/18:6:18,  Y = 85c4
15/10/2019/18:6:18,  Z = 87c4
15/11/2019/18:6:23,  X = 83c4
15/10/2019/18:6:23,  Y = 85c4
15/10/2019/18:6:23,  Z = 87c4
15/11/2019/18:6:28,  X = 83c4
15/10/2019/18:6:28,  Y = 85c4
